NAME;LONGNAME;HD_ICD_10;CAT
AB1_SHIGELLOSIS;Shigellosis;A03;A
AB1_STREPTO_SEPSIS;Streptococcal septicaemia;A40;A
AB1_STREPTSTAPHYCOCC_INOTHER;Streptococcus and staphylococcus as the cause of diseases classified to other chapters;B95;B
AB1_SYPHILIS;Syphilis;;
AB1_SYPHILIS_NOS;Other and unspecified syphilis;A53;A
AB1_TICK_BORNE_ENCEPHALITIS;Tick-borne viral encephalitis;A84;A
AB1_TOXOPLASMOSIS;Toxoplasmosis;B58;B
AB1_TRICHOMONIASIS;Trichomoniasis;A59;A
AB1_TUBERCU_OTH_ORG;Tuberculosis of other organs, strict;A18;A
AB1_TUBERCULOSIS;Tuberculosis, wide;A1[5-9];A
AB1_TULARAEMIA;Tularaemia;A21;A
AB1_TYPHOIDPARATHYPHOID;Typhoid and paratyphoid fevers;A01;A
AB1_VARICELLA;Varicella [chickenpox];B01;B
AB1_VIRAAL_CONJUNCT;Viral conjunctivitis;B30;B
AB1_VIRAL_CNS;Viral infections of the central nervous system;A8[0-9];A
AB1_VIRAL_ENCEPHALITIS_NOS;Viral encephalitis, not elsewhere classified/unspecified;A8[5-6];A
AB1_VIRAL_HEMOR_FEVER_NOS;Viral haemorrhagic fevers, not elsewhere classified/unspecified;A9[8-9];A
AB1_VIRAL_HEPATITIS;Viral hepatitis;B1[5-9];B
AB1_VIRAL_INOTHER;Viral agents as the cause of diseases classified to other chapters;B97;B
AB1_VIRAL_MENINGITIS;Viral meningitis;A87;A
AB1_VIRAL_NOS;Other viral diseases, not elsewhere classified;B3[3-4];B
AB1_VIRAL_OTHER_INTEST_INFECTIONS;Viral and other specified intestinal infections;A08;A
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE;Viral infections characterized by skin and mucous membrane lesions;B0[0-9];B
AB1_VIRAL_SKIN_NOS;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified;B0[8-9];B
AB1_VIRAL_WARTS;Viral warts;B07;B
AB1_VIRAN_CNS_INFECTIONS_NOS;Viral infections of central nervous system, not elsewhere classified/unspecified;A8[8-9];A
AB1_WHOOPCOUGH;Whooping cough;A37;A
AB1_ZOONOTIC_BACTERIAL;Certain zoonotic bacterial diseases;A2[0-8];A
AB1_ZOSTER;Zoster [herpes zoster];B02;B
AB1TUBERCU_MILIARY;Miliary tuberculosis;A19;A
ABDOM_HERNIA;Hernia of abdominal wall;;
ABDOM_HERNIA_POSTOP;Hernia of abdominal wall, postoperative;;
ABPA;Allergic bronchopulmonary aspergillosis (ABPA);B441;B
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD;Acute drug-induced interstitial lung disorder;J702;J
ALCO_PRESCRIPTION;Use of disulfiram, acamprosate or naltrexone;;
ALCODELIRIUM;Alcohol withdrawal state with delirium ;F104;F
ALCOHOLACUTE10;Acute alcohol intoxication, ICD10;F100;F
ALCOPANCACU;Alcohol-induced acute pancreatitis;K852;K
ALCOPANCCHRON;Alcohol-induced chronic pancreatitis;K860;K
ALLERG_ASTHMA;Allergic asthma (mode);J450;J
ALLERG_RHINITIS;Allergic rhinitis;J30[1-4];J
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN;Allergic contact dermatitis due to drugs in contact with skin;L233;L
AMN2;Transient global amnesia;G454;G
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE;Anaphylactic shock due to adverse effect of correct drug or medication properly administered;T886;T
ANOSMIA;Anosmia;G520|R430;G
ANTIDEPRESSANTS;Depression medications;;
APPENDACUT_COMPLIC;Acute appendicitis, with complications;K35[0-1];K
APPENDACUT_NOCOMPLIC;Acute appendicitis, no complications;;
ARTHRO_SPEC;Other specific arthropathies, wide;;
ARTRHO_POSTDYSENTERIC;Postdysenteric arthropathy;M021;M
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS;Asthma-related acute respiratory infections;;
ASTHMA_ALLERG;Asthma and allergy;;
ASTHMA_EOSINOPHIL_SUGG;Suggestive for eosinophilic asthma;;
ASTHMA_INFECTIONS;Asthma-related infections;;
ASTHMA_NAS;Asthma, unspecified (mode);J459;J
ASTHMA_OBESITY;Obesity related asthma;;
ASTHMA_OPPORTUNIST_INFECTIONS;Asthma and opportunity respiratory infection;;
ASTHMA_PNEUMONIA;Asthma-related pneumonia;;
AUD;Alcohol use disorder, ICD-based;F10[1-2];F
AUD_SWEDISH;Alcohol use disorder, Swedish definition;;
AUTOHEP;Autoimmune hepatitis;K754;K
AUTOIMMUNE;Autoimmune diseases;;
AUTOIMMUNE_HYPERTHYROIDISM;Autoimmune hyperthyroidism;E059;E
AUTOIMMUNE_NONTHYROID;Autoimmune diseases excluding thyroid diseases;;
BACT_INTEST_INFECTION_NOS;Other specified/unspecified bacterial intestinal infections;A04[8-9];A
BLEEDING;Bleeding;;
BRONCHITIS;Bronchitis;;
BRUXISM;Bruxism;F458|F4582;F
C_DIFFICILE_ENTEROCOLITIS;Enterocolitis due to Clostridium difficile;A047;A
C_STROKE;STROKE;;
C3_ADRENAL_GLAND_EXALLC;Malignant neoplasm of adrenal gland, excluding all cancers (controls excluding all cancers);C74;C
C3_ALL_EXALLC;Acute lymphocytic leukaemia, excluding all cancers (controls excluding all cancers);C910;C
C3_AML_EXALLC;Acute myeloid leukaemia, excluding all cancers (controls excluding all cancers);C920|C92[3-5]|C930|C940|C942|C944;C
C3_AML_MDS;Acute myeloid leukaemia and myelodysplastic syndromes;;
C3_AML_MDS_EXALLC;Acute myeloid leukaemia and myelodysplastic syndromes, excluding all cancers (controls excluding all cancers);;
C3_ANUS_ANALCANAL_EXALLC;Malignant neoplasm of anus and anal canal, excluding all cancers (controls excluding all cancers);C21;C
C3_ASTROCYTOMA_EXALLC;Brain astrocytoma, excluding all cancers (controls excluding all cancers);C71;C
C3_BASAL_CELL_CARCINOMA_EXALLC;Basal cell carcinoma, excluding all cancers (controls excluding all cancers);C44[0-9]1;C
C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC;Basal cell carcinoma, including avohilmo, excluding all cancers (controls excluding all cancers);;
C3_BILIARY_GALLBLADDER_EXALLC;Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers);C2[2-4];C
C3_BLADDER_EXALLC;Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers);C67;C
C3_BONE_CARTILAGE_EXALLC;Malignant neoplasm of bone and articular cartilage, excluding all cancers (controls excluding all cancers);;
C3_BRAIN_EXALLC;Malignant neoplasm of brain, excluding all cancers (controls excluding all cancers);C71;C
C3_BREAST_ERNEG_EXALLC;Malignant neoplasm of breast, ER-negative, excluding all cancers (controls excluding all cancers);C50;C
C3_BREAST_ERPLUS_EXALLC;Malignant neoplasm of breast, ER-positive, excluding all cancers (controls excluding all cancers);C50;C
C3_BREAST_EXALLC;Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers);C50;C
C3_BRONCHUS_LUNG_EXALLC;Malignant neoplasm of bronchus and lung, excluding all cancers (controls excluding all cancers);C34;C
C3_CANCER_EXALLC;Malignant neoplasm, excluding all cancers (controls excluding all cancers);;
C3_CERVIX_ADENO_EXALLC;Adenocarcinomas of cervix, excluding all cancers (controls excluding all cancers);;
C3_CERVIX_SQUAM_EXALLC;Squamous cell neoplasms and carcinoma of cervix, excluding all cancers (controls excluding all cancers);;
C3_CERVIX_UTERI_EXALLC;Malignant neoplasm of cervix uteri, excluding all cancers (controls excluding all cancers);C53;C
C3_CHONDROSARCOMA_EXALLC;Chondrosarcoma, excluding all cancers (controls excluding all cancers);C40.2|C4104|C4106|C4114|C4122|C4132|C4142|C4182|C4192;C
C3_CIRCULATING_LYMPHOID;Rare circulating lymphoid malignancy;C831|C841|C901|C910|C913|C914|C915|C916;C
C3_CIRCULATING_LYMPHOID_EXALLC;Rare circulating lymphoid malignancy, excluding all cancers (controls excluding all cancers);C831|C841|C901|C910|C913|C914|C915|C916;C
C3_CLL_EXALLC;Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers);C911|C830;C
C3_CML_EXALLC;Chronic myeloid leukaemia, excluding all cancers (controls excluding all cancers);C921;C
C3_COLON_ADENO_EXALLC;Colon adenocarcinoma, excluding all cancers (controls excluding all cancers);;
C3_COLON_EXALLC;Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers);C18;C
C3_COLORECTAL_ADENO_EXALLC;Colorectal adenocarcinoma, excluding all cancers (controls excluding all cancers);;
C3_COLORECTAL_EXALLC;Colorectal cancer, excluding all cancers (controls excluding all cancers);;
C3_COLORECTAL_NEUROENDO_EXALLC;Colorectal neuroendocrine tumor and carcinoma, excluding all cancers (controls excluding all cancers);;
C3_CORPUS_UTERI_EXALLC;Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers);C54;C
C3_DLBCL_EXALLC;Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers);C833;C
C3_EPENDYDOMA_EXALLC;Ependymoma, excluding all cancers (controls excluding all cancers);;
C3_EYE_ADNEXA_EXALLC;Malignant neoplasm of eye and adnexa, excluding all cancers (controls excluding all cancers);C69;C
C3_FIBROSARCOMA_EXALLC;Fibrosarcoma, excluding all cancers (controls excluding all cancers);C47.5|C48.5|C49.5;C
C3_GASTRINT_STROM_EXALLC;Gastrointestinal stromal tumor and sarcoma, excluding all cancers (controls excluding all cancers);;
C3_GBM_ASTROCYTOMA_EXALLC;Brain glioblastoma and astrocytoma, excluding all cancers (controls excluding all cancers);;
C3_GBM_EXALLC;Brain glioblastoma, excluding all cancers (controls excluding all cancers);;
C3_HEAD_AND_NECK_EXALLC;Malignant neoplasm of head and neck, excluding all cancers (controls excluding all cancers);;
C3_HEPATOCELLU_CARC_EXALLC;Hepatocellular carcinoma, excluding all cancers (controls excluding all cancers);C220;C
C3_HYPOPHARYNX_EXALLC;Malignant neoplasm of hypopharynx, excluding all cancers (controls excluding all cancers);C1[23];C
C3_KAPOSI_SARCOMA_EXALLC;Kaposi sarcoma, excluding all cancers (controls excluding all cancers);C46;C
C3_KIDNEY_CHROMOPHOBE_EXALLC;Chromophobe cell carcinoma of kidney, excluding all cancers (controls excluding all cancers);;
C3_KIDNEY_CLEAR_CELL_CARCINOMA_EXALLC;Clear cell adenocarcinoma of kidney, excluding all cancers (controls excluding all cancers);;
C3_KIDNEY_NOTRENALPELVIS_EXALLC;Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers);C64;C
C3_KIDNEY_PAPILLARYADENO_EXALLC;Adenocarcinoma and Papillary adenocarcinoma of kidney, excluding all cancers (controls excluding all cancers);;
C3_LEIOMYOSARCOMA_EXALLC;Leiomyosarcoma, excluding all cancers (controls excluding all cancers);C48.3|C49.3|C5421;C
C3_LIP_EXALLC;Malignant neoplasm of lip, excluding all cancers (controls excluding all cancers);C00;C
C3_LIPOSARCOMA_EXALLC;Liposarcoma, excluding all cancers (controls excluding all cancers);C48.2|C49.2;C
C3_LUNG_NEUROENDO_EXALLC;Neuroendocrine tumor and carcinoma of lung, excluding all cancers (controls excluding all cancers);;
C3_LUNG_NONSMALL_EXALLC;Non-small cell lung cancer, excluding all cancers (controls excluding all cancers);C34.[123457];C
C3_MACROGLOBULINEMIA_EXALLC;Waldenstrom macroglobulinemia, lymphoplasmacytic lymphoma, excluding all cancers (controls excluding all cancers);C880;C
C3_MANTLE_CELL_LYMPHOMA_EXALLC;Mantle cell lymphoma, excluding all cancers (controls excluding all cancers);C831;C
C3_MARGINAL_ZONE_LYMPHOMA_EXALLC;Marginal zone B-cell lymphoma, excluding all cancers (controls excluding all cancers);C838;C
C3_MELANOMA_EXALLC;Malignant melanoma, excluding all cancers (controls excluding all cancers);C6902|D039|C5103|C5113|C5123|C5182|C5293|C6982|C6992;C
C3_MELANOMA_SKIN_EXALLC;Malignant melanoma of skin, excluding all cancers (controls excluding all cancers);C43;C
C3_MENINGES_EXALLC;Malignant neoplasm of meninges, excluding all cancers (controls excluding all cancers);C70;C
C3_MENINGIOMA_EXALLC;Brain meningioma, excluding all cancers (controls excluding all cancers);C70;C
C3_MESOTHELIOMA_EXALLC;Mesothelioma, excluding all cancers (controls excluding all cancers);C45;C
C3_MULT_MYELOMA_EXALLC;Multiple myeloma, excluding all cancers (controls excluding all cancers);C90;C
C3_MYELODYSP_SYNDR_EXALLC;Myelodysplastic syndrome, excluding all cancers (controls excluding all cancers);D46;D
C3_MYELOMA_MONOCLONAL;Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS);;
C3_MYELOMA_MONOCLONAL_EXALLC;Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS), excluding all cancers (controls excluding all cancers);;
C3_NASAL_CAVITY_SINUSES_EXALLC;Malignant neoplasm of nasal cavity and sinuses, excluding all cancers (controls excluding all cancers);C3[01];C
C3_NASOPHARYNX_EXALLC;Malignant neoplasm of nasopharynx, excluding all cancers (controls excluding all cancers);C11;C
C3_NONHODGKIN_EXALLC;Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers);C8[2-5];C
C3_NSCLC_ADENO_EXALLC;Non-small cell lung cancer, adenocarcinoma, excluding all cancers (controls excluding all cancers);;
C3_NSCLC_SQUAM_EXALLC;Non-small cell lung cancer, squamous, excluding all cancers (controls excluding all cancers);;
C3_OESOPHAGUS_EXALLC;Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers);C15;C
C3_ORALCAVITY_EXALLC;Malignant neoplasm of oral cavity, excluding all cancers (controls excluding all cancers);C0[1-6];C
C3_OROPHARYNG_EXALLC;Malignant neoplasm of oropharynx, excluding all cancers (controls excluding all cancers);C10;C
C3_OSTEOSARCOMA_EXALLC;Osteosarcoma, excluding all cancers (controls excluding all cancers);C40.1|C4103|C4107|C4113|C4121|C4131|C4141|C4181|C4191;C
C3_OTHER_SKIN_EXALLC;Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers);C44;C
C3_OVARY_ENDOMETROID_EXALLC;Endometroid carcinoma of ovary, excluding all cancers (controls excluding all cancers);C5673;C
C3_OVARY_EXALLC;Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers);C56;C
C3_OVARY_GRANULOSA_EXALLC;Granulosa cell carcinoma of ovary, excluding all cancers (controls excluding all cancers);;
C3_OVARY_MUCINO_EXALLC;Mucinous and mucinous cystic tumor, excluding all cancers (controls excluding all cancers);C5672;C
C3_OVARY_SEROUS_EXALLC;Serous carcinoma of ovary, excluding all cancers (controls excluding all cancers);C5671;C
C3_PANCREAS_ADENO_DUCTAL_EXALLC;Adenocarcinoma and ductal carcinoma of pancreas, excluding all cancers (controls excluding all cancers);;
C3_PANCREAS_EXALLC;Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers);C25;C
C3_PANCREAS_NEUROENDOCRINE_EXALLC;Neuroendocrine tumor and carcinoma of pancreas, excluding all cancers (controls excluding all cancers);;
C3_PAROTIDGLAND_EXALLC;Malignant neoplasm of parotid gland, excluding all cancers (controls excluding all cancers);C07;C
C3_PENIS_EXALLC;Malignant neoplasm of penis, excluding all cancers (controls excluding all cancers);C60;C
C3_PROSTATE_EXALLC;Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers);C61;C
C3_RECTUM_ADENO;Adenocarcinoma and papilloma adenocarcinoma of rectum;;
C3_RECTUM_ADENO_MUCINO_EXALLC;Adenocarcinoma, papilloma adenocarcinoma and mucinous carcinomas of rectum, excluding all cancers (controls excluding all cancers);C2092;C
C3_RECTUM_EXALLC;Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers);C20;C
C3_RECTUM_NEUROENDOCRINE_EXALLC;Neuroendocrine tumor and carcinoma of rectum, excluding all cancers (controls excluding all cancers);;
C3_RENAL_PELVIS_EXALLC;Malignant neoplasm of renal pelvis, excluding all cancers (controls excluding all cancers);C65;C
C3_RHABDOMYOSARCOMA_EXALLC;Rhabdomyosarcoma, excluding all cancers (controls excluding all cancers);C48.4|C49.4;C
C3_SCLC_EXALLC;Small cell lung cancer, excluding all cancers (controls excluding all cancers);C34;C
C3_SKIN_EXALLC;Malignant neoplasm of skin, excluding all cancers (controls excluding all cancers);;
C3_SMALL_INTESTINE_ADENO_EXALLC;Adenocarcinoma of small intestine, excluding all cancers (controls excluding all cancers);;
C3_SMALL_INTESTINE_EXALLC;Malignant neoplasm of small intestine, excluding all cancers (controls excluding all cancers);C17;C
C3_SMALL_INTESTINE_NEUROENDOCRINE_EXALLC;Neuroendocrine tumor and carcinoma of small intestine, excluding all cancers (controls excluding all cancers);;
C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS_EXALLC;Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system, excluding all cancers (controls excluding all cancers);C72;C
C3_SQUOMOUS_CELL_CARCINOMA_SKIN_EXALLC;Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers);C44[0-9]2;C
C3_STOMACH_ADENO_EXALLC;Adenocarcinoma and papillary adenocarcinoma of stomach, excluding all cancers (controls excluding all cancers);;
C3_STOMACH_EXALLC;Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers);C16;C
C3_STOMACH_NEUROENDOCRINE_EXALLC;Neuroendocrine tumor and carcinoma of stomach, excluding all cancers (controls excluding all cancers);;
C3_TESTIS_EXALLC;Malignant neoplasm of testis, excluding all cancers (controls excluding all cancers);C62;C
C3_TESTIS_NONSEMINOMA_EXALLC;Non-seminoma of testis, excluding all cancers (controls excluding all cancers);C62.2;C
C3_TESTIS_SEMINOMA_EXALLC;Seminoma of testis, excluding all cancers (controls excluding all cancers);C62.1;C
C3_THYMUS_EXALLC;Malignant neoplasm of thymus, excluding all cancers (controls excluding all cancers);C37;C
C3_THYROID_FOLLICULAR_EXALLC;Follicular adenocarcinoma of thyroid gland, excluding all cancers (controls excluding all cancers);C7392;C
C3_THYROID_GLAND_EXALLC;Malignant neoplasm of thyroid gland, excluding all cancers (controls excluding all cancers);C73;C
C3_THYROID_MEDULLARY_EXALLC;Medullary carcinoma of thyroid gland, excluding all cancers (controls excluding all cancers);C7394;C
C3_THYROID_PAPILLARY_ADENO_EXALLC;Papillary adenocarcinoma of thyroid gland, excluding all cancers (controls excluding all cancers);C7391;C
C3_TONSIL_BASETONGUE_EXALLC;Malignant cancer of tonsil and base of tongue, excluding all cancers (controls excluding all cancers);C01|C09;C
C3_URETER_EXALLC;Malignant neoplasm of ureter, excluding all cancers (controls excluding all cancers);C66;C
C3_URINARY_TRACT_EXALLC;Malignant neoplasm of urinary organs, excluding all cancers (controls excluding all cancers);;
C3_VAGINA_EXALLC;Malignant neoplasm of vagina, excluding all cancers (controls excluding all cancers);C52;C
C3_VULVA_EXALLC;Malignant neoplasm of vulva, excluding all cancers (controls excluding all cancers);C51;C
C3_WILMS_TUMOR;Wilms' tumor;C6480;C
C3_WILMS_TUMOR_EXALLC;Wilms' tumor, excluding all cancers (controls excluding all cancers);C6480;C
CAMPYLOENTERITIS;Campylobacter enteritis;A045;A
CARDIAC_ARRHYTM;Cardiac arrhythmias;;
CARDIOMYOPATHY_DRUGS_OTHER_EXTER_AGENTS;Cardiomyopathy due to drugs and other external agents;I427;I
CD2_BENIGN_ADRENAL;Benign neoplasm: Adrenal gland;D350;D
CD2_BENIGN_ANUS_ANAL_CANAL;Benign neoplasm: Anus and anal canal;D129;D
CD2_BENIGN_APPENDIX;Benign neoplasm: Appendix;D121;D
CD2_BENIGN_ASCENDING_COLON;Benign neoplasm: Ascending colon;D122;D
CD2_BENIGN_BLADDER;Benign neoplasm: Bladder;D303;D
CD2_BENIGN_BONE_CARTILAGE;Benign neoplasm of bone and articular cartilage;D16;D
CD2_BENIGN_BONE_CARTILAGE_NOS;Benign neoplasm: Bone and articular cartilage, unspecified;D169;D
CD2_BENIGN_BONE_LONG_LOWER;Benign neoplasm: Long bones of lower limb;D162;D
CD2_BENIGN_BONE_LOWER_JAW;Benign neoplasm: Lower jaw bone;D165;D
CD2_BENIGN_BONE_SCAPULA_LONG_UPPER;Benign neoplasm: Scapula and long bones of upper limb;D160;D
CD2_BENIGN_BONE_SHORT_LOWER;Benign neoplasm: Short bones of lower limb;D163;D
CD2_BENIGN_BONE_SHORT_UPPER;Benign neoplasm: Short bones of upper limb;D161;D
CD2_BENIGN_BONE_SKULL_FACE;Benign neoplasm: Bones of skull and face;D164;D
CD2_BENIGN_BRAIN_CNS;Benign neoplasm of brain and other parts of central nervous system;D33;D
CD2_BENIGN_BRAIN_INFRATENT;Benign neoplasm: Brain, infratentorial;D331;D
CD2_BENIGN_BRAIN_NOS;Benign neoplasm: Brain, unspecified;D332;D
CD2_BENIGN_BRAIN_SUPRATENT;Benign neoplasm: Brain, supratentorial;D330;D
CD2_BENIGN_BREAST;Benign neoplasm of breast;D24;D
CD2_BENIGN_BRONCHUS_LUNG;Benign neoplasm: Bronchus and lung;D143;D
CD2_BENIGN_CAECUM;Benign neoplasm: Caecum;D120;D
CD2_BENIGN_CAROTIDBODY;Benign neoplasm: Carotid body;D355;D
CD2_BENIGN_CERVIX_UTERI;Other benign neoplasm of uterus: Cervix uteri;D260;D
CD2_BENIGN_CHOROID;Benign neoplasm: Choroid;D313;D
CD2_BENIGN_CILIARY;Benign neoplasm: Ciliary body;D314;D
CD2_BENIGN_CNS_NOS;Benign neoplasm: Central nervous system, other parts/unspecified;D337;D
CD2_BENIGN_COLON;Benign neoplasm: Colon;;
CD2_BENIGN_COLON_NOS;Benign neoplasm: Colon, unspecified;D126;D
CD2_BENIGN_COLORECANI;Benign neoplasm of colon, rectum, anus and anal canal;D12;D
CD2_BENIGN_CONJUNCTIVA;Benign neoplasm: Conjunctiva;D310;D
CD2_BENIGN_CONNECTIVE_SOFT;Other benign neoplasms of connective and other soft tissue;D21;D
CD2_BENIGN_CONNSOFT_ABD;Benign neoplasm: Connective and other soft tissue of abdomen;D214;D
CD2_BENIGN_CONNSOFT_PELVIS;Benign neoplasm: Connective and other soft tissue of pelvis;D215;D
CD2_BENIGN_CONNSOFT_THX;Benign neoplasm: Connective and other soft tissue of thorax;D213;D
CD2_BENIGN_CONNSOFT_TRUNK;Benign neoplasm: Connective and other soft tissue of trunk, unspecified;D216;D
CD2_BENIGN_CONNSOFT_UPPERLIMB;Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder;D211;D
CD2_BENIGN_CORNEA;Benign neoplasm: Cornea;D311;D
CD2_BENIGN_CORPUS_UTERI;Other benign neoplasm of uterus: Corpus uteri;D261;D
